# STS-N aerodynamics identified from live KSP telemetry (ShuttleSim/tools/identify_stsn_aero.py). M<=0.90: CL=CL0+K sin a cos a, CD=CD0+KD sin^2 a (clean configuration; gear/airbrake increments in the report). M>=1.10: KSP-fitted table stsn_aero_ksp_robust.csv. See the report for held-out validation.
mach,alpha_deg,cl,cd
2,14,0.153646,0.217716
2,16,0.169878,0.226951
2,18,0.181385,0.244375
2,20,0.192892,0.261800
2,22,0.208010,0.298514
2,25,0.230687,0.353587
2,28,0.236564,0.406058
2,30,0.240481,0.441039
2,35,0.223742,0.562739
2,40,0.216490,0.567393
2,45,0.215116,0.568824
3,-10,0.051304,0.142566
3,-5,0.051304,0.142566
3,-2,0.051443,0.142461
3,0,0.051536,0.142391
3,2,0.054310,0.145861
3,4,0.057085,0.149331
3,6,0.078536,0.163946
3,8,0.118664,0.189708
3,10,0.158791,0.215470
3,12,0.158851,0.220761
3,14,0.158912,0.226053
3,16,0.159129,0.231516
3,18,0.159503,0.237152
3,20,0.159878,0.242788
3,22,0.172915,0.276283
3,25,0.192470,0.326527
3,28,0.213973,0.402562
3,30,0.228309,0.453252
3,35,0.211208,0.565057
3,40,0.207275,0.565237
3,45,0.205012,0.564105
4,-10,0.051440,0.142405
4,-5,0.051440,0.142405
4,-2,0.051724,0.142645
4,0,0.051913,0.142804
4,2,0.055791,0.152247
4,4,0.059669,0.161689
4,6,0.079910,0.179331
4,8,0.116511,0.205174
4,10,0.153113,0.231017
4,12,0.153308,0.232220
4,14,0.153503,0.233422
4,16,0.155121,0.238324
4,18,0.158162,0.246925
4,20,0.161203,0.255526
4,22,0.172099,0.284259
4,25,0.188442,0.327359
4,28,0.193545,0.399909
4,30,0.196947,0.448275
4,35,0.178158,0.547154
4,40,0.177443,0.548674
4,45,0.177177,0.548828
5,-10,0.051759,0.142706
5,-5,0.051759,0.142706
5,-2,0.053510,0.144340
5,0,0.054676,0.145429
5,2,0.093990,0.180019
5,4,0.133304,0.214610
5,6,0.150438,0.237795
5,8,0.145392,0.249574
5,10,0.140346,0.261353
5,12,0.140308,0.261337
5,14,0.140269,0.261320
5,16,0.140311,0.261679
5,18,0.140431,0.262413
5,20,0.140552,0.263147
5,22,0.149763,0.289005
5,25,0.163579,0.327792
5,28,0.165321,0.459134
5,30,0.166482,0.546694
5,35,0.166426,0.550137
5,40,0.166418,0.551515
5,45,0.166479,0.550983
6,-10,0.140412,0.261483
6,-5,0.140412,0.261483
6,-2,0.140410,0.261474
6,0,0.140408,0.261467
6,2,0.140404,0.261455
6,4,0.140399,0.261442
6,6,0.140395,0.261435
6,8,0.140393,0.261433
6,10,0.140390,0.261430
6,12,0.140387,0.261424
6,14,0.140383,0.261417
6,16,0.140345,0.261468
6,18,0.140272,0.261575
6,20,0.140200,0.261682
6,22,0.149376,0.287105
6,25,0.163141,0.325240
6,28,0.172018,0.384651
6,30,0.177937,0.424258
6,35,0.165770,0.576949
6,40,0.165568,0.579295
6,45,0.165582,0.579309
7,-10,0.140999,0.265534
7,-5,0.140999,0.265534
7,-2,0.141017,0.265550
7,0,0.141029,0.265560
7,2,0.141049,0.265578
7,4,0.141069,0.265596
7,6,0.141099,0.265574
7,8,0.141140,0.265514
7,10,0.141180,0.265454
7,12,0.141316,0.265589
7,14,0.141453,0.265725
7,16,0.141940,0.266874
7,18,0.142780,0.269039
7,20,0.143619,0.271204
7,22,0.152233,0.309846
7,25,0.165154,0.367810
7,28,0.169839,0.399681
7,30,0.172963,0.420929
7,35,0.166727,0.566448
7,40,0.165629,0.577584
7,45,0.165550,0.578781
8,-10,0.141201,0.265464
8,-5,0.141201,0.265464
8,-2,0.141250,0.265503
8,0,0.141283,0.265530
8,2,0.141373,0.265634
8,4,0.141463,0.265738
8,6,0.141551,0.265844
8,8,0.141636,0.265953
8,10,0.141720,0.266063
8,12,0.141765,0.266158
8,14,0.141810,0.266254
8,16,0.146330,0.286076
8,18,0.155326,0.325624
8,20,0.164322,0.365172
8,22,0.164351,0.365213
8,25,0.164396,0.365274
8,28,0.165935,0.368316
8,30,0.166960,0.370344
8,35,0.168177,0.555977
8,40,0.165814,0.575867
8,45,0.165670,0.577289
10,-10,0.141709,0.266052
10,-5,0.141709,0.266052
10,-2,0.141716,0.266058
10,0,0.141720,0.266062
10,2,0.141754,0.266131
10,4,0.141787,0.266201
10,6,0.141848,0.266334
10,8,0.141937,0.266533
10,10,0.142026,0.266732
10,12,0.150791,0.305566
10,14,0.159555,0.344400
10,16,0.164024,0.364098
10,18,0.164197,0.364662
10,20,0.164370,0.365226
10,22,0.164597,0.364888
10,25,0.164938,0.364381
10,28,0.165773,0.367795
10,30,0.166329,0.370072
10,35,0.166516,0.370462
10,40,0.166750,0.572167
10,45,0.166428,0.575278
12,-10,0.141760,0.266142
12,-5,0.141760,0.266142
12,-2,0.141786,0.266198
12,0,0.141804,0.266235
12,2,0.141928,0.266509
12,4,0.142051,0.266783
12,6,0.144418,0.285919
12,8,0.149027,0.323919
12,10,0.153636,0.361920
12,12,0.157931,0.363245
12,14,0.162225,0.364570
12,16,0.164374,0.365235
12,18,0.164377,0.365241
12,20,0.164380,0.365246
12,22,0.164608,0.364901
12,25,0.164950,0.364382
12,28,0.165534,0.366700
12,30,0.165924,0.368246
12,35,0.166312,0.370280
12,40,0.166952,0.569129
12,45,0.166663,0.572932
16,-10,0.142164,0.267040
16,-5,0.142164,0.267040
16,-2,0.142868,0.267300
16,0,0.143337,0.267473
16,2,0.151749,0.306581
16,4,0.160161,0.345690
16,6,0.164368,0.365243
16,8,0.164371,0.365241
16,10,0.164374,0.365240
16,12,0.164384,0.365225
16,14,0.164394,0.365210
16,16,0.164500,0.365026
16,18,0.164701,0.364674
16,20,0.164902,0.364322
16,22,0.164918,0.364346
16,25,0.164943,0.364382
16,28,0.165319,0.365485
16,30,0.165570,0.366221
16,35,0.166048,0.368889
16,40,0.166253,0.370083
16,45,0.166797,0.570639
20,-10,0.164367,0.365246
20,-5,0.164367,0.365246
20,-2,0.164372,0.365243
20,0,0.164375,0.365241
20,2,0.164375,0.365242
20,4,0.164375,0.365242
20,6,0.164383,0.365224
20,8,0.164400,0.365188
20,10,0.164416,0.365152
20,12,0.164608,0.364820
20,14,0.164800,0.364488
20,16,0.164899,0.364325
20,18,0.164903,0.364329
20,20,0.164908,0.364333
20,22,0.164920,0.364353
20,25,0.164937,0.364383
20,28,0.165112,0.364860
20,30,0.165229,0.365178
20,35,0.165809,0.367454
20,40,0.166057,0.369058
20,45,0.166223,0.370040
25,-10,0.164376,0.365243
25,-5,0.164376,0.365243
25,-2,0.164376,0.365243
25,0,0.164376,0.365244
25,2,0.164414,0.365172
25,4,0.164451,0.365100
25,6,0.164555,0.364916
25,8,0.164726,0.364620
25,10,0.164896,0.364323
25,12,0.164898,0.364323
25,14,0.164899,0.364323
25,16,0.164902,0.364325
25,18,0.164905,0.364330
25,20,0.164908,0.364334
25,22,0.164918,0.364353
25,25,0.164932,0.364383
25,28,0.164949,0.364423
25,30,0.164960,0.364450
25,35,0.165553,0.366221
25,40,0.165831,0.367695
25,45,0.166026,0.368889
