# model=kerbin_stock_spatial
altitude_m,density_kg_m3,pressure_pa,temperature_k,speed_of_sound_mps
61300.0,2.9152364797551604e-05,1.834729591470729,219.24446166852258,296.83366338952567
61400.0,2.856473920752821e-05,1.79808863634285,219.28614296364472,296.8618780669856
61500.0,2.7978540348275546e-05,1.7621383812017497,219.4043900185568,296.941906634658
61600.0,2.740371042105355e-05,1.726861567338525,219.52223223325183,297.0216397579956
61700.0,2.6842742429713046e-05,1.69224093604427,219.61685514931946,297.0856470010285
61800.0,2.6268480289560964e-05,1.658259228610081,219.91144409574542,297.2848321197065
61900.0,2.5748854360679562e-05,1.6248991863270545,219.83602676573796,297.23385171040945
62000.0,2.5220267677356035e-05,1.5921435504862878,219.9190678488149,297.2899851178105
62100.0,2.469123961870773e-05,1.5599750623788755,220.09243610741936,297.40714297455844
62200.0,2.417812263101633e-05,1.5283764632959136,220.2105495958112,297.48693463879437
62300.0,2.3679743965930956e-05,1.4973304945284986,220.27794840238957,297.5324563689439
62400.0,2.321083069155488e-05,1.4666024502188473,220.11623629808446,297.42322293506334
62500.0,2.269167913863616e-05,1.4359658777668034,220.4488521615245,297.64785501984636
62600.0,2.2208984955473144e-05,1.4054289741226993,220.45022606913872,297.64878253662226
62700.0,2.171303699622452e-05,1.3749999572232838,220.60353535812533,297.7522625674337
62800.0,2.123056073539261e-05,1.3446870450053077,220.642978668398,297.77888002381525
62900.0,2.0750711903910547e-05,1.3144984554055201,220.67718484702866,297.80196139009445
63000.0,2.0271603045489382e-05,1.284442406360671,220.72773051234964,297.83606490750077
63100.0,1.9803430415497345e-05,1.25452711580751,220.68356030037722,297.806263168732
